Строка 8, колонка 12, недопустимый символ
Строка 9, колонка 12, недопустимый символ
Строка 10, колонка 12, недопустимый символ
Строка 11, колонка 12, недопустимый символ
Строка 12, колонка 12, недопустимый символ
Строка 13, колонка 12, недопустимый символ
Строка 14, колонка 12, недопустимый символ
Строка 15, колонка 12, недопустимый символ
Строка 16, колонка 12, недопустимый символ
Строка 17, колонка 12, недопустимый символ
Строка 18, колонка 12, недопустимый символ
Строка 19, колонка 12, недопустимый символ
Строка 20, колонка 12, недопустимый символ
Строка 21, колонка 12, недопустимый символ
Строка 34, колонка 12, недопустимый символ
Строка 46, колонка 12, недопустимый символ
Строка 47, колонка 12, недопустимый символ
Строка 48, колонка 12, недопустимый символ
Строка 49, колонка 12, недопустимый символ
Строка 63, колонка 12, недопустимый символ
Строка 71, колонка 12, недопустимый символ
Строка 72, колонка 12, недопустимый символ
Строка 74, колонка 12, недопустимый символ
