30;0;300;;Диагностика;Тестирование;Полная диагностика;Комплексная проверка;Программная диагностика
60;500;1000;;Замена разъёма ;Замена разъёма зарядного устройства;Замена разъёма hdmi;Ремонт разъёма зу;
60;800;1500;1;Ремонт вспышки;Ремонт светодиодной вспышки;Восстановление вспышки;Восстановление светодиодной вспышки;Замена платы вспышки
120;1500;3000;;Замена ЖК дисплея;Замена дисплея ;Замена ЖК экрана ;Замена экрана ;Замена LCD экрана 
120;1000;2000;;Замена CCD/CMOS  матрицы;Замена ПЗС/КМОП матрицы;Замена матрицы ПЗС/КМОП;Замена матрицы CCD/CMOS;Замена CCD/CMOS матрицы
120;500;1100;1;Замена затвора ;Замена шторно-щелевого затвора;Ремонт затвора;Замена шторки ;
120;1000;2200;;Замена материнской платы;Замена основной платы;Замена базовой платы;Замена основной микросхемы;
120;1800;2500;;Замена платы отсека карты памяти;Замена платы слота карты памяти;Ремонт платы разъёма карты памяти;Ремонт платы картридера карты памяти;Ремонт платы входа карты памяти
60;1400;2000;1;Настройка автофокуса ;Калибровка автофокуса;Юстировка автофокуса;Настройка фокусировки ;Калибровка фокусировки
120;1000;1500;;Прошивка;Перепрошивка;Восстановление ПО;Восстановление программного обеспечения;
120;1000;2100;;Устранение битых пикселей на CCD/CMOS матрице;Маскировка битых пикселей на CCD/CMOS матрице;Скрытие битых пикселей на CCD/CMOS матрице;Устранение поврежденных пикселей на CCD/CMOS матрице;Маскировка поврежденных пикселей на CCD/CMOS матрице
120;1200;1800;;Ремонт материнской платы;Восстановление платы электроники;Восстановление материнской платы;Пайка платы электроники;
60;1500;2300;;Чистка CCD/CMOS матрицы;Чистка матрицы CCD/CMOS;Очистка CCD/CMOS матрицы;Очистка матрицы CCD/CMOS;Чистка ПЗС/КМОП матрицы
