30;0;300;;Диагностика;Полная диагностика;Комплексная диагностика;
120;1800;2100;;Замена вентилятора обдува;Замена вентилятора охлаждения;Ремонт вентилятора охлаждения;
90;1000;1600;1;Замена датчика температуры;Замена терморегулятора;Замена термостата;
60;800;1200;1;Замена компрессора;Замена двигателя;;
60;800;1100;;Замена нагревателя оттайки;Замена радиатора;Замена дефростера;
30;600;900;1;Замена реле;Замена реле управления;Замена реле запуска;Замена реле регулятора
45;500;800;;Замена фильтра-осушителя;;;
50;750;900;;Замена электросхемы;Замена платы электросхемы;Замена системной платы;
60;800;1200;1;Заправка фреоном;Устранение утечки хладагента;Заправка хладагентом;
90;1500;1900;;Прочистка дренажной системы;;;
