30;0;0;;Диагностика;Тестирование;Полная диагностика;Программная диагностика;;
60;800;1400;;Чистка (замена термопасты);Замена термопасты;;;;
45;900;1200;;Замена кулера;Замена кулера системы охлаждения;Замена кулера охлаждения;;;
120;1800;2800;;Ремонт цепи питания;Ремонт контроллера питания;Ремонт элементов цепи питания;Восстановление цепи питания;;
120;1600;2200;;Замена видеочипа;Замена видеокарты;Замена видеоадаптера;;;
120;1500;2100;;Замена северного моста;Замена южного моста;Замена чипа южного моста;Замена чипа северного моста;;
45;600;800;;Ремонт разъема;Восстановление разъема;;;;
45;500;800;;Прошивка BIOS;Перепрошивка BIOS;Обновление BIOS;Прошивка БИОС;;
15;300;500;;Замена оперативной памяти;Замена ОЗУ;Замена оперативного запоминающего устройства;;;
15;300;500;;Замена HDD;Замена винчестера;Замена жесткого диска;Замена SSD;Замена диска HDD;Замена диска SSD
30;300;500;;Замена процессора;Замена ЦПУ;Замена центрального процессора;;;
60;500;1000;;Замена материнской платы;Замена системной платы;Замена основной платы;Замена базовой платы;Ремонт материнской платы;
45;500;1500;;Установка операционной системы;Установка ОС;Установка ПО;Установка программного обеспечения;Установка драйверов;Настройка ПО
45;400;800;;Замена звуковой платы;Замена звукового адаптера;Замена звуковой карты;;;
15;300;600;;Замена блока питания;Ремонт блока питания;;;;
