30;0;300;;Диагностика;Тестирование;Полная диагностика;Проверка
90;1800;2400;;Замена узла формирования изображения;Замена узла печати;;
60;1000;1300;;Замена узла сканирования изоражения;Замена узла сканирования;;
120;2000;3200;;Замена узла подачи бумаги;Замена узла приема бумаги;;
40;500;1200;1;Замена резинового вала;Замена термопленки;;
120;1500;3500;;Замена узла закрепления;Замена узла фиксации;;
45;800;1200;;Замена шестерни редуктора;Замена редуктора;Замена шестерни;
45;800;1200;1;Замена блока лазера;Замена лазера;Замена лазерного блока;
90;1500;2500;;Замена платы питания;Замена блока питания;;
90;1200;1900;;Замена платы управления;Замена контроллера;Замена контроллера управления;Замена ЭБУ
40;500;1200;1;Замена асорбера;;;
40;1200;1900;1;Замена головки;Замена печатающей головки;;
