30;0;300;;Диагностика;Тестирование;Полная диагностика;Программная диагностика;Комплексная диагностика;;
120;800;1300;;Замена компонентов материнской платы;Замена BGA компонентов;Замена SMD;Замена компонентов основной платы;Замена компонентов базовой платы;;
120;1000;1500;;Замена микросхем системной логики;Ребболинг южного моста;Ребболинг северного моста;Восстановление северного моста;Восстановление южного моста;Ремонт южного моста;Ремонт северного моста
60;500;1000;;Прошивка BIOS;Перепрошивка BIOS;Настройка BIOS;Прошивка БИОС;Перепрошивка БИОС;Настройка БИОС;
60;1000;1400;;Замена BIOS;Замена БИОС;Замена микросхем BIOS;Замена микросхем БИОС;;;
120;1100;1500;;Восстановление токоведущих дорожек;Восстановление цепи питаня;Ремонт цепи питания;Ремонт токоведущих дорожек;;;
60;800;1800;;Замена сокетов памяти;Замена слотов PCI-E;Замена слотов AGP;Замена слотов расширения;;;
30;500;600;;Замена разъемов;;;;;;
30;500;1000;;Замена блока питания;;;;;;
180;2000;4000;1;Восстановление данных;Восстановление информации;Восстановление информации диска;Восстановление информации HDD;Восстановление информации SSD;;
