30;0;300;;Диагностика;Тестирование;Полная диагностика;Проверка;;;;;;;;
160;1200;3000;1;Замена дисплейного модуля;Замена дисплея;Замена экрана;Замена монитора;;;;;;;;
120;600;900;1;Замена сенсорного стекла;Замена тачскрина;Замена сенсора;;;;;;;;;
60;500;800;;Ремонт шлейфа экрана;Ремонт шлейфа дисплея;Ремонт шлейфа монитора;восстановление шлейфа экрана;восстановление шлейфа дисплея;восстановление шлейфа монитора;;;;;;
60;800;1200;;Замена датчика света;Замена датчика освещенности;Замена светочувствительного датчика;Замена датчика регулировки подсветки;;;;;;;;
60;800;1200;;Замена голосового динамика;Замена разговорного динамика;;;;;;;;;;
60;800;1200;;Замена динамика полифонии;Замена динамика громкой связи;Замена музыкального динамика;;;;;;;;;
60;500;800;;Замена гарнитурного разъема;Замена разъема наушников;Замена mini-jack (гарнитура);Замена 3.5 разъема (гарнитура);Замена входа наушников;Замена входа гарнитуры;;;;;;
60;500;800;1;Замена микрофона;Замена записывающего устройства;;;;;;;;;;
40;500;800;;Замена виброматора;Замена вибрации;Замена вибродвижка;Замена вибро;;;;;;;;
40;500;1000;;Замена входа ЗУ;Замена разъма зарядки;Замена разъема питания;Замена входа зарядки;Замена входа питания;Замена системного разъема;Замена системного входа;;;;;
80;500;1000;;Замена разъема симкарты;Замена входа симкарты;Замена разъема SIM;Замена входа SIM;Замена держатели сим карты;Замена держатели SIM;Замена отсека SIM;Замена отсека сим карты;Замна сим лотка;Замена SIM лотка;;
80;500;1000;;Замена разъема флеш;Замена разъема флеш карты;Замена разъема flash;Замена отсека флеш;Замена отсека флеш карты;Замена отсека flash;Замена входа флеш;Замена входа флеш карты;Замена входа flash;Замена держателя флеш;Замена держателя флеш карты;Замена держателя flash
120;500;1200;1;Обновление ПО;Обновление программного обеспечения;Прошивка;Восстановление ПО;Восстановление программного обеспечения;;;;;;;
240;1000;1500;;Восстановление IMEI;Восстановление идентификатора сети;;;;;;;;;;
60;500;1200;;Замена корпуса;Замена корпусных элементов;;;;;;;;;;
180;600;1100;;Замена GPS;Замена GPS модуля;Замена модуля навигации;;;;;;;;;
240;1500;3000;;Замена контроллера питания;Замена элементов цепи питания;Замена цепи питания;;;;;;;;;
120;500;1200;;Замена кнопки включения;Замена кнопки блокировки;Замена кнопки выключения;;;;;;;;;
30;500;1000;1;Замена аккумулятора;Замена батареи;Замена аккумуляторной батареи;Замена АКБ;;;;;;;;
240;1200;3000;;Замена приемопередатчика;Замена модуля связи;Замена передатчика сети;;;;;;;;;
120;1500;3500;;Замена фронтальной камеры;Замена передней камеры;Замена камеры видеосвязи;;;;;;;;;
120;1000;3000;;Замена основной камеры;Замена задней камеры;Замена камеры;;;;;;;;;
120;1500;3500;;Замена NFC;Восстановление NFC;Замена NFC передатчика;Восстановление NFC передатчика;;;;;;;;
80;700;1500;;Замена модуля Wi-Fi;Замена Wi-Fi;Замена Wi-Fi адаптера;;;;;;;;;
