Бренд;Модель;Картинка
Acer;"Liquid Zest Plus";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-zest-plus.jpg
Acer;"Liquid Z6 Plus";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z6-plus.jpg
Acer;"Liquid Z6";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z6.jpg
Acer;"Liquid Zest 3G";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-zest-3g.jpg
Acer;"Liquid Z630S";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z630s.jpg
Acer;"Liquid Zest 4G Z528";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-zest-4g.jpg
Acer;"Liquid Zest Z525";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-zest.jpg
Acer;"Liquid E3";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-e3.jpg
Acer;"Liquid E700";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-e700.jpg
Acer;"Liquid Jade Z";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-jade-z.jpg
Acer;"Liquid Z500";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z500.jpg
Acer;"Liquid Z530";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z530.jpg
Acer;"Liquid Z630";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z630.jpg
Acer;"Liquid Jade Primo";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-jade-primo.jpg
Acer;"Liquid M330";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-m330.jpg
Acer;"Liquid E600";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-e600.jpg
Acer;"Liquid Jade";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-jade.jpg
Acer;"Liquid Z220";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z220.jpg
Acer;"Liquid Z330";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z330.jpg
Acer;"Liquid Z410";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z410.jpg
Acer;"Liquid Z520";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z520.jpg
Acer;"Liquid E1";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-e1.jpg
Acer;"Liquid E2";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-e2.jpg
Acer;"Liquid Jade S";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-jade-s.jpg
Acer;"Liquid S2";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-s2.jpg
Acer;"Liquid Z5";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z5.jpg
Acer;"Liquid M220";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-m220.jpg
Acer;"Liquid Z3";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z3.jpg
Acer;"Liquid S1";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-s1.jpg
Acer;"Liquid Z200";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z200.jpg
Acer;"Liquid Z320";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z320.jpg
Acer;"Liquid Z4";http://teh-profi.net/i/remont_telefonov/acer/150/liquid-z4.jpg
Alcatel;"1C 5009D";http://teh-profi.net/i/remont_telefonov/alcatel/150/1c.jpg
Alcatel;"1X 5059D";http://teh-profi.net/i/remont_telefonov/alcatel/150/1x.jpg
Alcatel;"3 5052d";http://teh-profi.net/i/remont_telefonov/alcatel/150/3.jpg
Alcatel;"3X 5058I";http://teh-profi.net/i/remont_telefonov/alcatel/150/3x.jpg
Alcatel;"3V 5099D";http://teh-profi.net/i/remont_telefonov/alcatel/150/3v.jpg
Alcatel;"A2 XL 8050D";http://teh-profi.net/i/remont_telefonov/alcatel/150/a2-xl.jpg
Alcatel;"U3 4049D";http://teh-profi.net/i/remont_telefonov/alcatel/150/u3.jpg
Alcatel;A7;http://teh-profi.net/i/remont_telefonov/alcatel/150/a7.jpg
Alcatel;"A3 XL 9008D";http://teh-profi.net/i/remont_telefonov/alcatel/150/9008d-a3-xl.jpg
Alcatel;"A3 5046D";http://teh-profi.net/i/remont_telefonov/alcatel/150/5046d-alcatel-a3.jpg
Alcatel;"U5 5044D";"http://teh-profi.net/i/remont_telefonov/alcatel/150/5044d- alcatel-u5.jpg"
Alcatel;"POP 4 (6)";http://teh-profi.net/i/remont_telefonov/alcatel/150/pop-4-6.jpg
Alcatel;"POP 4 Plus 5056D";http://teh-profi.net/i/remont_telefonov/alcatel/150/pop-4-plus-5056d.jpg
Alcatel;"POP 4 5051D";http://teh-profi.net/i/remont_telefonov/alcatel/150/pop-4-5051d.jpg
Alcatel;"POP UP 6044D";http://teh-profi.net/i/remont_telefonov/alcatel/150/pop-up-6044d.jpg
Alcatel;"Pixi 4 6 3G 8050X";http://teh-profi.net/i/remont_telefonov/alcatel/150/pixi-4-6-3g-8050x.jpg
Alcatel;"PIXI 4 (5) 4G";http://teh-profi.net/i/remont_telefonov/alcatel/150/pixi-4-5-4g.jpg
Alcatel;"Pixi 4 (5) 3G 5010D";http://teh-profi.net/i/remont_telefonov/alcatel/150/pixi-4-5-3g-5010d.jpg
Alcatel;"PIXI 3 (4.5) 4027D";http://teh-profi.net/i/remont_telefonov/alcatel/150/pixi-3-45-4027d.jpg
Alcatel;"Idol 5";http://teh-profi.net/i/remont_telefonov/alcatel/150/idol-5.jpg
Alcatel;"Idol 4S 6070K";http://teh-profi.net/i/remont_telefonov/alcatel/150/idol-4s-6070k.jpg
Alcatel;"Idol 4 6055K";http://teh-profi.net/i/remont_telefonov/alcatel/150/idol-4-6055k.jpg
Alcatel;"A5 Led 5085D";http://teh-profi.net/i/remont_telefonov/alcatel/150/a5-led-5085d.jpg
Alcatel;"5080X Shine Lite";http://teh-profi.net/i/remont_telefonov/alcatel/150/5080x-shine-lite.jpg
Alcatel;"ONETOUCH PIXI 3 4009D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pixi-3-4009d.jpg
Alcatel;"ONETOUCH PIXI 4 4034D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pixi-4-4034d.jpg
Alcatel;"ONETOUCH PIXI 3 4013D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pixi-3-4013d.jpg
Alcatel;"ONETOUCH FIRST 4024D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-first-4024d.jpg
Alcatel;"ONETOUCH POP 3 5015D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-3-5015d.jpg
Alcatel;"ONETOUCH POP 2 4045D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-2-4045d.jpg
Alcatel;"ONETOUCH POP STAR 5022D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-star-5022d.jpg
Alcatel;"ONETOUCH POP 3 5065D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-3-5065d.jpg
Alcatel;"ONETOUCH POP 3 5025D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-3-5025d.jpg
Alcatel;"ONETOUCH POP STAR 5070D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-star-5070d.jpg
Alcatel;"ONETOUCH POP 2 5045D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-2-5045d.jpg
Alcatel;"ONETOUCH PIXI 4 8050D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pixi-4-8050d.jpg
Alcatel;"ONETOUCH PIXI 4+ 5056D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pixi-4-5056d.jpg
Alcatel;"ONETOUCH GO Play 7048X";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-go-play-7048x.jpg
Alcatel;"ONETOUCH IDOL 3 6045Y";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-3-6045y.jpg
Alcatel;"ONETOUCH POP 4S 5095K";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-4s-5095k.jpg
Alcatel;"ONETOUCH IDOL 4S 6070K";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-4s-6070k.jpg
Alcatel;7043;http://teh-profi.net/i/remont_telefonov/alcatel/150/7043.jpg
Alcatel;"HERO 2";http://teh-profi.net/i/remont_telefonov/alcatel/150/hero-2.jpg
Alcatel;"IDOL 3 6039y";http://teh-profi.net/i/remont_telefonov/alcatel/150/idol-3-6039y.jpg
Alcatel;"ONETOUCH HERO 8030";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-hero-8030.jpg
Alcatel;"ONETOUCH XPOP 5035";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-xpop-5035.jpg
Alcatel;"ONETOUCH HD 8008D";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-hd-d-8008d.jpg
Alcatel;"ONETOUCH HERO 8020";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-hero-8020.jpg
Alcatel;"ONETOUCH IDOL 2 6037";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-6037.jpg
Alcatel;"ONETOUCH IDOL 2 MINI 6012X";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-mini-x-6012x.jpg
Alcatel;"ONETOUCH IDOL 2 MINI 6016";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-mini-6016.jpg
Alcatel;"ONETOUCH IDOL 2 MINI L 6014";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-mini-l-6014.jpg
Alcatel;"ONETOUCH IDOL 2 MINI S 6036Y";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-mini-s-y-6036y.jpg
Alcatel;"ONETOUCH IDOL 6030";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-6030.jpg
Alcatel;"ONETOUCH IDOL A 6032X";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-a-x-6032x.jpg
Alcatel;"ONETOUCH IDOL S 6035R";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-s-r-6035r.jpg
Alcatel;"ONETOUCH IDOL ULTRA 6033";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-ultra-6033.jpg
Alcatel;"ONETOUCH IDOL X 6040";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-x-6040.jpg
Alcatel;"ONETOUCH MPOP 5020";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-mpop-5020.jpg
Alcatel;"ONETOUCH POP C5 5036X";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-c-x-5036x.jpg
Alcatel;"ONETOUCH POP C9 7047";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-c-7047.jpg
Alcatel;"ONETOUCH POP S3 5050X";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-s-x-5050x.jpg
Alcatel;"ONETOUCH POP S7 7045";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-s-7045.jpg
Alcatel;"ONETOUCH POP S9 7050";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-s-7050.jpg
Alcatel;"ONETOUCH SCRIBE EASY 8000";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-scribe-easy-8000.jpg
Alcatel;"ONETOUCH STAR 6010";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-star-6010.jpg
Alcatel;"POP 2 5042D";http://teh-profi.net/i/remont_telefonov/alcatel/150/pop-2-5042d.jpg
Alcatel;"POP C7 7041D";http://teh-profi.net/i/remont_telefonov/alcatel/150/pop-c7-7041d.jpg
Alcatel;"ONETOUCH 995";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-995.jpg
Alcatel;"ONETOUCH 997";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-997.jpg
Alcatel;"ONETOUCH IDOL 2 S 6050Y";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-idol-s-y-6050y.jpg
Alcatel;"ONETOUCH POP C1 4015";http://teh-profi.net/i/remont_telefonov/alcatel/150/onetouch-pop-c-4015.jpg
