Дата;Имя;Оценка;Комментарий
20.07.2017;Наташа;5;Приятный сервисный центр. Видно, что заботятся о своих клиентах. Все аккуратно и персонал хороший. Мне здесь поставили новый виндоус на мой ноутбук hp, буквально за пол часа.
28.07.2017;Илья;5;Обратился в этот сервис для ремонта холодильника LG. Заметили, что в морозильной камере стало накапливаться много льда, хотя у холодильника функция ноуфрост. Оказалось, что морозильная камера временами не работает, а потом что оттаяло замерзает. Поскольку холодильник большой предмет, естественно вызвали мастера на дом. Приехавший мастер очень понравился, все аккуратно осмотрел и исправил неполадки.
30.07.2017;Анастасия;5;Дома был старый ноутбук, которым не очень пользовались. Решили отдать его бабушке, чтобы осваивала интернет. Перед тем как отдавать, отнесла на диагностику и установку ПО в этот сервисный центр. Мне его буквально за час почистили и поставили все нужное для использования.
10.08.2017;Дима;5;Относил на ремонт в это сервис мой смартфон, уронил его на плитку и естественно разбился экран. Ну замена экрана это не дешевое «удовольствие», но его сделали хорошо. Цена адекватная.
24.08.2017;Саша;4;Здравствуйте. Хочу оставить отзыв о работе этого сервисного центра. Здесь мне отремонтировали мой монитор, который стал включаться через раз и постоянно мигал при работе. Ремонт занял 4 дня, хотелось бы быстрее, но видимо много работы у мастеров.
02.09.2017;Олег;4;Обратился сюда за ремонтом планшета. Есть как плюсы, так и минусы. Мне не очень понравилось, что сроки переносили 2 раза, но главное в том, что мне починили планшет за разумные деньги. Хоть затянули, зато в качестве я уверен.
23.09.2017;Оксана;5;Сервисный центр хороший, приятно сюда обращаться. Относила на починку свой телефон, сделали быстро и цена приемлемая.
07.10.2017;Саша;5;Спасибо за восстановление данных с моего ноутбука! У меня на ноутбуке, была вся моя дипломная работа! Вы прям спасли меня!
16.10.2017;Елена;5;Сломалась стиральная машина. Машина уже старая, но не хочу от нее отказываться из-за качественной сборки, она еще из тех экземпляров, которые собирались исключительно в Германии. Поэтому было принято решение починить ее. Для начала решила позвонить по телефон и выяснить все условия ремонта, меня проконсультировали по телефону, сказали, что можно будет все починить. На следующий день приехал мастер, осмотрел машинку, и сказал, что приедет завтра уже с деталями для ремонта. Хочу сказать большое спасибо мастеру Кириллу за аккуратный и качественный ремонт.
28.10.2017;Ира;5;Спасибо за ремонт моего телефона. Я думала, что его невозможно будет восстановить, так-как был контакт телефона с водой, но мне все исправили! Спасибо!
30.10.2017;Александр;4;Здравствуйте! У меня перестала работать кнопка переключения звука. Отнес утром в этот сервисный цент, сказали, что вечер уже могу забирать. Зашел после работы, телефон действительно был готов. Но через пару часов обнаружил что кнопка опять перестала работать. Я очень возмутился и понес телефон обратно, приемщики сказали, что посмотрят в чем причина, пришлось опять оставить телефон.  На следующий день пришел забирать, сказали, что все исправили, и извинились.  Отзыв пишу по прошествии месяца, пока все работает.
05.11.2017;Максим;5;У нас в офисе произошло чп, сломался холодильник! Не каждый сервисный центр занимается починкой этой техники. Стали искать в интернете. Поскольку нужен был срочный ремонт, после пары звонков в другие сервисы, остановился на этом. По телефону я вызвал мастера, а на следующий день он приехал с большим набором инструментов и уже через час проблема была устранена.
09.11.2017;Марьяна;5;Мой планшет все чаще стал выключаться без причины. Пару месяцев назад уже обращалась в этот сервисный центр, у младшего брата разбился экран смартфона, поэтому решила отнести мой планшет именно сюда. Получается выражаю двойную благодарность за качественно выполненный ремонт.
06.01.2018;Иван;4;Залил ноут соком, полетела клавиатура. Думал уже все, выбрасывать придется. Но, мне повезло. Обратился в данный сервис и не пожалел. Мастера все сделали быстро, качественно и не дорого. Еще и порекомендовали силиконовую накладку на клаву. Теперь я спокоен за свои агрегат. Большое спасибо.
01.01.2018;Марина;5;Родители подарили планшет, а я по неосторожности расколола экран. Расстроилась, но все же решила обратиться в сервис. Ребята меня успокоили, сказали, что все сделают быстро и следов ремонта не будет видно. Так и вышло. Родители даже не узнали, что была замена экрана. Огромнейшее спасибо. Теперь если еще что случится, я сразу к вам!
06.04.2018;Егор ;5;Ребенок разбил экран на смартфоне Самсунг. Модель не дешевая и я думал, что ремонт будет стоить очень дорого. Но, на деле оказалось, иначе. Я обратился в данный сервис и остался очень доволен. Мне заменили экран на оригинальный и дополнительно поставили защитный экран. Теперь я спокойно душой даю телефон ребенку в руки и не боюсь за его сохранность.
