Xiaomi;смартфон;M1;М1С;0;Xiaomi M1 s;Хаоми М1С С;S;M1S;M1;С;М1С;М1С;С
Xiaomi;смартфон;Mi;Ми;1;Xiaomi Mi Max;Хаоми Ми Ми Макс;Mi Max;NA;Mi;Ми Макс;НА;Ми;Ми Макс
Xiaomi;смартфон;Mi;Ми;1;Xiaomi Mi Note;Хаоми Ми Ми Ноут;Mi Note;NA;Mi;Ми Ноут;НА;Ми;Ми Ноут
Xiaomi;смартфон;Mi;Ми;1;Xiaomi Mi Note Pro;Хаоми Ми Ми Ноут Про;Mi Note Pro;NA;Mi;Ми Ноут Про;НА;Ми;Ми Ноут Про
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi2A;Хаоми Ми2А;Mi2A;MI;MI;Ми2А;Ми;Ми;Ми 2А
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi2S;Хаоми Ми2С;Mi2S;MI;MI;Ми2С;Ми;Ми;Ми 2С
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi MI3;Хаоми Ми3;MI3;MI;MI;Ми3;Ми;Ми;Ми 3
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi4 ;Хаоми Ми4;Mi4;MI;MI;Ми4;Ми;Ми;Ми 4
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi4C;Хаоми Ми4С;Mi4C;MI;MI;Ми4С;Ми;Ми;Ми 4С
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi4i;Хаоми Ми4и;Mi4i;MI;MI;Ми4и;Ми;Ми;Ми 4и
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi4s;Хаоми Ми4С;Mi4s;MI;MI;Ми4С;Ми;Ми;Ми 4С
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi5;Хаоми Ми5;Mi5;MI;MI;Ми5;Ми;Ми;Ми 5
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi5S;Хаоми Ми5С;Mi5S;MI;MI;Ми5С;Ми;Ми;Ми 5С
Xiaomi;смартфон;MI-series;Серия Ми;0;Xiaomi Mi5S Plus;Хаоми Ми5С Плюс;Mi5S Plus;MI;MI;Ми5С Плюс;Ми;Ми;Ми 5С Плюс
Xiaomi;смартфон;MI;Ми;1;Xiaomi Mi Two;Хаоми Ми 2;Two;NA;MI;2;НА;Ми;2
Xiaomi;смартфон;Red Rice;Ред Райс;1;Xiaomi Red Rice 1;Хаоми Ред Райс 1;1;1;Red Rice;1;1;Ред Райс;1
Xiaomi;смартфон;Red Rice;Ред Райс;1;Xiaomi Red Rice 1s;Хаоми Ред Райс 1С;1s;1;Red Rice;1С;1;Ред Райс;1 С
Xiaomi;смартфон;Redmi;Редми;1;Xiaomi Redmi 2;Хаоми Редми 2;2;2;Redmi;2;2;Редми;2
Xiaomi;смартфон;Redmi;Редми;1;Xiaomi Redmi 2 Advanced;Хаоми Редми 2 Advanced;2 Advanced;2;Redmi;2 Advanced;2;Редми;2 Advanced
Xiaomi;смартфон;Redmi;Редми;1;Xiaomi Redmi 2 Enhanced;Хаоми Редми 2 Enhanced;2 Enhanced;2;Redmi;2 Enhanced;2;Редми;2 Enhanced
Xiaomi;смартфон;Redmi;Редми;1;Xiaomi Redmi 3;Хаоми Редми 3;3;3;Redmi;3;3;Редми;3
