Код;Имеет ПВЗ;Максимальный вес;Страна;Регион;Город;Улица;Дом;Офис;Эл. почта;Телефоны;График работы;Наименование;Описание;Комментарий к адресу;Ближайшая остановка;Ближайшая остановка метро;
ERE1;Да;;Армения;Армения;Ереван;ул. Киевян;10;;a.ekizyan@cdek.ru;+37412440664, +37460440660, +37496440664;Пн-Пт 09:00-18:00, Сб 10:00-16:00;На Киевян;;;;;||
GOM1;Да;;Белоруссия (Беларусь);Гомельскаяобл.;Гомель, Гомельская обл.;ул. Интернациональная;11;51;;+375232262835, +375333002255;Пн-Чт 10:00-18:00, Пт 10:00-17:00, Сб 10:00-14:00;На Интернациональной;;;;;||
MOG1;Да;;Белоруссия (Беларусь);Могилевскаяобл.;Могилев, Могилевская обл.;пер. Коммунистический ;6;12;s.moskvina@cdek.ru;+375447302203, +375222705993, +375222705993;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Коммунистическом;;;;;||
VIT1;Да;;Белоруссия (Беларусь);Витебскаяобл.;Витебск, Витебская обл.;ул. Зеньковой;1;1а;vitebsk@cdek.ru;+375212622224;Пн-Пт 10:00-19:00, Сб 10:00-14:00;На Зеньковой;;;;;||
MIN5;Да;;Белоруссия (Беларусь);Минскаяобл.;Минск, Минская обл.;ул. Тимошенко;8;;a.muhomorov@cdek.ru;+375333311167, +375445838286;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Тимошенко;;;;Ст. м. Кунцевщина;||
BAR1;Да;300.0;Белоруссия (Беларусь);Брестскаяобл.;Барановичи, Брестская обл.;ул. Комсомольская;21;1;e.sheglik@cdek.ru;+375298733030, +375163634202;Пн-Пт 09:00-19:00, Сб 10:00-14:00;Комсомольская;;Офис расположен около Детской библиотеки, в соседнем доме с торца здания.;Библиотека;;||
BOB1;Да;;Белоруссия (Беларусь);Могилевскаяобл.;Бобруйск, Могилевская обл.;ул. Советская;101;;s.moskvina@cdek.ru;+375447819091;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Советская;;От остановки площадь Ленина двигаться в сторону гостиницы Бобруйск до светофора. Вход в офис с левой стороны здания;Площадь Ленина;;||
BRE2;Да;;Белоруссия (Беларусь);Брестскаяобл.;Брест, Брестская обл.;ул. Карбышева;37;26;s.ivanov@cdek.ru;+375333990005, +375333991888;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Карбышева;;Перекресток улицы Карбышева и Маяковского, вход с улицы Маяковского;Цетральный рынок, Университет;;||
GRO2;Да;;Белоруссия (Беларусь);Гродненскаяобл.;Гродно, Гродненская обл.;ул. Дарвина;24;;r.vikulov@cdek.ru;+375296162360, +375336162350;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Дарвина;;;ул. Горновых, ост. Горбольница №2;;||
BOR4;Да;;Белоруссия (Беларусь);Минскаяобл.;Борисов, Минская обл.;ул. Почтовая;34;10;S.kachan@cdek.ru;+375177733131, +375298245320, +375293924651;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Почтовой;;;Ж/д вокзал;;||
MIN7;Да;;Белоруссия (Беларусь);Минскаяобл.;Минск, Минская обл.;Киселева;11;;cdek.belarus@mail.ru;+375336162330, +375296162330;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Киселева;;;Площадь Победы;Площадь Победы;||
GAM1;Да;;Германия;Гамбург;Гамбург;ул. Хазенхое;126;;s.pritykin@cdek.ru;+4940696044440;Пн-Пт 09:00-18:00;Гамбург;;;;Ст. м. Изерброок;||
UST1;Да;;Казахстан;Восточно-Казахстанскаяобл.;Усть-Каменогорск, Восточно-Казахстанская обл.;ул. Протазанова;83;;;+77054983723, +77232786055;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Протазанова;;;;;||
ALM1;Да;;Казахстан;Алма-Атинскаяобл.;Алматы;ул. Руставели;3;;;+77273912661 07001, +77273912661 07003;Пн-Пт 08:00-21:00, Сб 09:00-18:00, Вс 09:00-16:00;На Руставели;;;;;||
PAV1;Да;;Казахстан;Павлодарскаяобл.;Павлодар, Павлодарская обл.;ул. Лермонтова;45/2;;pavlodar@edostavka.ru;+77019165550, +77182328500;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Лермонтова;;;;;||
AST3;Да;;Казахстан;Акмолинскаяобл.;Астана, Акмолинская обл.;ул. Ауэзова;38;6;;+77172396670, +77024501345;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Ауэзова;;;;;||
ATY3;Да;;Казахстан;Атырауская обл.;Атырау (Гурьев);ул. Абая;26а;;a.tudakov@cdek.ru;+77122320549;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Абая;;;;;||
