Старый УРЛ;Новый УРЛ;Тип устройства;Время работы;Цена;Новый title;Основное название;Синонимы;;;;;;;;;;
diagnostics;diagnostika;Ноутбук;40;0;Диагностика ноутбука [model] в [city]: программная диагностика от [name];Диагностика;Программная диагностика;Комплексная диагностика;Полная диагностика;;;;n;diagnostika;0;15;15
remont-wifi;zamena-wi-fi;Ноутбук;30;500;Замена wi-fi на ноутбуке [model] в [city]: ремонт wifi платы от [name];Замена Wi-Fi;Ремонт WiFi платы;Замена Wi-Fi модуля;Замена WiFi;;;;n;zamena-wifi;490;30;45
remont-matritsy;zamena-matritsy;Ноутбук;60;900;Замена матрицы на ноутбуке [model] в [city]: ремонт матрицы от [name];Замена матрицы;Ремонт матрицы;Замена матрицы экрана;Замена матрицы дисплея;;;;n;zamena-matritsy;890;60;90
vosstanovlenie-tsepi-pitaniya;zamena-tsepi-pitaniya;Ноутбук;120;2800;Замена элементов цепи питания на ноутбуке [model] в [city]: ремонт цепи питания материнской платы от [name];Замена элементов цепи питания;Ремонт цепи питания материнской платы;Ремонт цепи питания;Восстановление цепи питания;;;;n;remont-tsepi-pitaniya;2790;120;180
remont-videokarty;remont-videokarty;Ноутбук;120;2200;Ремонт видеокарты на ноутбуке [model] в [city]: замена видеокарты от [name];Ремонт видеокарты;Замена видеокарты;Замена видеочипа;Перепайка видеочипа;;;;n;zamena-videokarty;2190;120;180
remont-hdd;zamena-diska-hdd-ssd;Ноутбук;15;400;Замена диска hdd/ssd на ноутбуке [model] в [city]: замена жесткого диска от [name];Замена диска HDD/SSD;Замена жесткого диска;Замена накопителя HDD;Замена HDD;;;;n;zamena-zhestkogo-diska;390;15;30
remont-klaviatury;zamena-klaviatury;Ноутбук;30;700;Замена клавиатуры на ноутбуке [model] в [city]: полная замена клавиатуры от [name];Замена клавиатуры;Полная замена клавиатуры;Ремонт клавиатуры;Замена кнопок клавиатуры;;;;n;zamena-klaviatury;690;30;45
nastroika-os-windows;nastrojka-windows;Ноутбук;60;1200;Настройка windows на ноутбуке [model] в [city]: настройка по от [name];Настройка Windows;Настройка ПО;Настройка ОС;Настройка операционной системы;Настройка ОС Windows;;;n;nastroyka-windows;1190;60;90
remont-platy;zamena-materinskoj-platy;Ноутбук;90;1400;Замена материнской платы на ноутбуке [model] в [city]: замена платы от [name];Замена материнской платы;Замена платы;Ремонт материнской платы;Ремонт системной платы;;;;n;zamena-materinskoy-platy;1390;90;120
zamena-ozu;zamena-operativnoj-pamyati;Ноутбук;15;300;Замена оперативной памяти на ноутбуке [model] в [city]: замена озу от [name];Замена оперативной памяти;Замена ОЗУ;Замена памяти ОЗУ;Замена модуля памяти;;;;n;zamena-pamyati;290;15;30
chistka;chistka;Ноутбук;60;1400;Чистка на ноутбуке [model] в [city]: чистка от пыли от [name];Чистка;Чистка от пыли;Комплексная чистка;Полная чистка;;;;n;chistka-noutbuka;1390;60;90
remont-kulera;zamena-kulera;Ноутбук;45;900;Замена кулера на ноутбуке [model] в [city]: замена вентилятора от [name];Замена кулера;Замена вентилятора;Замена вентилятора охлаждения;Ремонт кулера;;;;n;zamena-kulera;890;45;60
nastroika-bios;nastrojka-bios;Ноутбук;45;800;Настройка биос на ноутбуке [model] в [city]: настройка bios от [name];Настройка Биос;Настройка BIOS;Работа с настройками BIOS;Работа с настройками БИОС;;;;n;nastroyka-bios;790;45;60
razborka;razborka;Ноутбук;60;900;Разборка на ноутбуке [model] в [city]: полная разборка от [name];Разборка;Полная разборка;Полный разбор;Сборка-разборка;Разбор;;;n;razborka-noutbuka;890;60;90
nastroika-draiverov;ustanovka-drajverov;Ноутбук;45;700;Установка драйверов на ноутбуке [model] в [city]: установка драйвера от [name];Установка драйверов;Установка драйвера;Установка драйверов Windows;Настройка драйвера;Настройка драйверов;;;n;remont-yuzhnogo-mosta;2090;120;180
remont-hdmi;zamena-razyoma-hdmi;Ноутбук;45;900;Замена разъема hdmi на ноутбуке [model] в [city]: замена hdmi от [name];Замена разъема HDMI;Замена HDMI;Замена модуля HDMI;Ремонт разъема HDMI;Ремонт HDMI;Ремонт модуля HDMI;;n;ustanovka-drayverov;690;45;60
remont-usb;zamena-razyoma-usb;Ноутбук;45;800;Замена разъема usb на ноутбуке [model] в [city]: замена портов usb от [name];Замена разъема USB;Замена портов USB;Замена USB;Ремонт разъема USB;Ремонт портов USB;Ремонт USB;;n;zamena-multikontrollera;1790;90;120
remont-zvukovoy-karty;zamena-zvukovoj-karty;Ноутбук;45;800;Замена звуковой карты на ноутбуке [model] в [city]: ремонт звуковой карты от [name];Замена звуковой карты;Ремонт звуковой карты;Замена звуковой платы;Ремонт звуковой платы;;;;n;zamena-hdmi;890;45;60
remont-shleyfa;zamena-shlejfa;Ноутбук;60;1100;Замена шлейфа на ноутбуке [model] в [city]: ремонт шлейфа от [name];Замена шлейфа;Ремонт шлейфа;;;;;;n;zamena-usb;790;45;60
zamena-severnogo-mosta;zamena-severnogo-mosta;Ноутбук;120;2000;Ремонт северного моста на ноутбуке [model] в [city]: ремонт северного моста платы от [name];Ремонт северного моста;Ремонт северного моста платы;Ремонт чипа северного моста;Замена северного моста;Замена северного моста платы;Замена чипа северного моста;;n;zamena-zvukovoy-karty;790;45;60
zamena-akkumulyatora;zamena-batarei;Ноутбук;15;100;Замена аккумуляторной батареи на ноутбуке [model] в [city]: замена батареи от [name];Замена аккумуляторной батареи;Замена батареи;Замена аккумулятора;Замена АКБ;;;;n;zamena-shleyfa-matritsy;1090;60;90
zamena-zu;zamena-zaryadnogo;Ноутбук;15;100;Замена зарядного устройства на ноутбуке [model] в [city]: замена блока питания от [name];Замена зарядного устройства;Замена блока питания;Замена устройства питания;;;;;n;remont-severnogo-mosta;1990;120;180
remont-razyoma-pitaniya;zamena-gnezda-pitaniya;Ноутбук;30;500;Замена гнезда питания на ноутбуке [model] в [city]: замена разъема питания от [name];Замена гнезда питания;Замена разъема питания;Ремонт гнезда питания;Ремонт разъема питания;;;;n;zamena-batarei;90;15;15
remont-kamery;zamena-kamery;Ноутбук;45;900;Замена камеры на ноутбуке [model] в [city]: замена встроенной камеры от [name];Замена камеры;Замена встроенной камеры;Ремонт встроенной камеры;Ремонт вебкамеры;;;;n;zamena-zaryadnogo-ustroystva;90;15;15
remont-microfona;zamena-mikrofona;Ноутбук;45;900;Замена микрофона на ноутбуке [model] в [city]: замена встроенного микрофона от [name];Замена микрофона;Замена встроенного микрофона;Замена внутреннего микрофона;Ремонт микрофона;;;;n;zamena-gnezda-pitaniya;490;30;45
remont-tachpada;zamena-tachpad;Ноутбук;45;800;Замена тачпад на ноутбуке [model] в [city]: замена модуля тачпад от [name];Замена тачпад;Замена модуля тачпад;Ремонт тачпад;Ремонт тачпада;Замена тачпада;;;n;zamena-kamery;890;45;60
diagnostics;diagnostika;Планшет;40;0;Диагностика планшета [model] в [city]: программная диагностика от [name];Диагностика;Программная диагностика;Комплексная диагностика;Полная диагностика;Экспресс диагностика;;;n;zamena-mikrofona;890;45;60
remont-wifi;zamena-wi-fi;Планшет;30;500;Замена wi-fi модуля на планшете [model] в [city]: замена wifi от [name];Замена Wi-Fi модуля;Замена WiFi;Ремонт WiFi платы;Замена Wi-Fi;;;;n;zamena-tachpad;790;45;60
zamena-ekrana;zamena-displeya;Планшет;60;900;Замена дисплея на планшете [model] в [city]: замена экрана от [name];Замена дисплея;Замена экрана;Замена тачскрина;Замена сенсорного стекла;Замена модуля экрана;Замена модуля дисплея;;p;diagnostika;0;15;30
vosstanovlenie-tsepi-pitaniya;remont-tsepi-pitaniya;Планшет;120;2800;Ремонт цепи питания на планшете [model] в [city]: ремонт цепи питания платы от [name];Ремонт цепи питания;Ремонт цепи питания платы;Ремонт цепи питания материнской платы;Замена элементов цепи питания;;;;p;zamena-wifi;490;30;45
remont-platy;zamena-materinskoj-platy;Планшет;60;1300;Замена материнской платы на планшете [model] в [city]: замена системной платы от [name];Замена материнской платы;Замена системной платы;Замена платы;Ремонт материнской платы;;;;p;zamena-displeya;890;60;90
chistka;chistka;Планшет;60;1100;Чистка на планшете [model] в [city]: полная чистка от [name];Чистка;Полная чистка;Комплексная чистка;;;;;p;remont-tsepi-pitaniya;2790;120;180
razborka;razborka;Планшет;45;600;Разборка на планшете [model] в [city]: полная разборка от [name];Разборка;Полная разборка;Полный разбор;Сборка-разборка;Разбор;;;p;zamena-materinskoy-platy;1290;60;90
remont-kontrollera;zamena-kontrollera-platy;Планшет;60;1200;Замена контроллера платы на планшете [model] в [city]: замена контроллера управления от [name];Замена контроллера платы;Замена контроллера управления;;;;;;p;chistka-plansheta;1090;60;90
remont-hdmi;zamena-razyoma-hdmi;Планшет;45;600;Замена разъема hdmi на планшете [model] в [city]: ремонт разъема hdmi от [name];Замена разъема HDMI;Ремонт разъема HDMI;;;;;;p;razborka-plansheta;590;45;60
remont-usb;zamena-razyoma-usb;Планшет;45;600;Замена разъема usb на планшете [model] в [city]: замена порта usb от [name];Замена разъема USB;Замена порта USB;Замена USB;Ремонт разъема USB;Ремонт портов USB;Ремонт USB;;p;zamena-multikontrollera;1190;60;90
zamena-akkumulyatora;zamena-batarei;Планшет;60;800;Замена аккумуляторной батареи на планшете [model] в [city]: замена батареи от [name];Замена аккумуляторной батареи;Замена батареи;Замена аккумулятора;Замена АКБ;;;;p;zamena-hdmi;590;45;60
remont-kamery;zamena-kamery;Планшет;45;600;Замена камеры на планшете [model] в [city]: замена встроенной камеры от [name];Замена камеры;Замена встроенной камеры;Ремонт камеры;Замена фронтальной камеры;;;;p;zamena-usb;590;45;60
remont-microfona;zamena-mikrofona;Планшет;30;500;Замена микрофона на планшете [model] в [city]: замена встроенного микрофона от [name];Замена микрофона;Замена встроенного микрофона;Ремонт микрофона;Ремонт встроенного микрофона;;;;p;zamena-shleyfa;690;45;60
