тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;acer;One;10 Z3735F 32Gb ;;acer One 10 Z3735F 32Gb ;;;;;;;;;;;;;;;
планшет;acer;One;10 Z3735F 32Gb HDD 500Gb ;;acer One 10 Z3735F 32Gb HDD 500Gb ;;;;;;;;;;;;;;;
ноутбук;acer;travelmate;2492wlmi ;;acer travelmate 2492wlmi ;;;;;;;;;;;;;;;
ноутбук;acer;extensa;2508 p02w ;;acer extensa 2508 p02w ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;4736g 663g25mi ;;acer aspire 4736g 663g25mi ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;5536g 623g25mi ;;acer aspire 5536g 623g25mi ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;5551g n933g25misk ;;acer aspire 5551g n933g25misk ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;5742g 374g50mikk ;;acer aspire 5742g 374g50mikk ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;7540g 504g50mi ;;acer aspire 7540g 504g50mi ;;;;;;;;;;;;;;;
планшет;acer;Predator;8 GT-810 32Gb ;;acer Predator 8 GT-810 32Gb ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;9303wsmi ;;acer aspire 9303wsmi ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;e1 531 b9604g50mnks ;;acer aspire e1 531 b9604g50mnks ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;E1 Duo ;;Acer Liquid E1 Duo ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;E2 ;;Acer Liquid E2 ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;E2 Duo ;;Acer Liquid E2 Duo ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;E2 Duo V370 ;;Acer Liquid E2 Duo V370 ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;e3 111 c8vg ;;acer aspire e3 111 c8vg ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;e5 553g ;;acer aspire e5 553g ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;e5 571g 34bf ;;acer aspire e5 571g 34bf ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;e5 571g 39tx ;;acer aspire e5 571g 39tx ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;e5 572g 54vn ;;acer aspire e5 572g 54vn ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;e5 575g ;;acer aspire e5 575g ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;E600 ;;Acer Liquid E600 ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;E700 ;1;Acer Liquid E700 ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;es1 731 p03f ;;acer aspire es1 731 p03f ;;;;;;;;;;;;;;;
ноутбук;acer;extensa;ex2540 ;;acer extensa ex2540 ;;;;;;;;;;;;;;;
ноутбук;acer;extensa;ex2540 31jf ;;acer extensa ex2540 31jf ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;f5 573g 75q3 ;;acer aspire f5 573g 75q3 ;;;;;;;;;;;;;;;
ноутбук;acer;emachines;g730g 373g50miks ;;acer emachines g730g 373g50miks ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;Jade Z ;;Acer Liquid Jade Z ;;;;;;;;;;;;;;;
ноутбук;acer;ferrari;one ;;acer ferrari one ;;;;;;;;;;;;;;;
планшет;acer;Switch;One 10 Z8300 32Gb ;;acer Switch One 10 Z8300 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Switch;One 10 Z8300 32Gb HDD 500Gb ;;acer Switch One 10 Z8300 32Gb HDD 500Gb ;;;;;;;;;;;;;;;
планшет;acer;Switch;One 10 Z8300 64Gb ;;acer Switch One 10 Z8300 64Gb ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one 531 ;1;acer aspire one 531 ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one 532h 28sw ;;acer aspire one 532h 28sw ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one 722 c68bb ;;acer aspire one 722 c68bb ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one 722 c6ckk ;;acer aspire one 722 c6ckk ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one 756 877b1bb ;;acer aspire one 756 877b1bb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;One B1-780 16Gb ;;acer Iconia One B1-780 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;One B1-850 16Gb ;;acer Iconia One B1-850 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;One B3-A30 16Gb ;;acer Iconia One B3-A30 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;One B3-A30 32Gb ;;acer Iconia One B3-A30 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;One B3-A40 16Gb ;;acer Iconia One B3-A40 16Gb ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one d250 ;;acer aspire one d250 ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one d255 2bqkk ;;acer aspire one d255 2bqkk ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one d260 ;;acer aspire one d260 ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one d270 268blw ;;acer aspire one d270 268blw ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;one zg5 ;;acer aspire one zg5 ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;S1 ;;Acer Liquid S1 ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;S2 ;;Acer Liquid S2 ;;;;;;;;;;;;;;;
планшет;acer;Aspire;Switch 10 32Gb Z3735F DDR3 ;;acer Aspire Switch 10 32Gb Z3735F DDR3 ;;;;;;;;;;;;;;;
планшет;acer;Aspire;Switch 10 E 32Gb Z3735F DDR3 ;;acer Aspire Switch 10 E 32Gb Z3735F DDR3 ;;;;;;;;;;;;;;;
планшет;acer;Aspire;Switch 10 E z8300 32Gb ;;acer Aspire Switch 10 E z8300 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Aspire;Switch 10 E z8300 32Gb HDD 500Gb ;;acer Aspire Switch 10 E z8300 32Gb HDD 500Gb ;;;;;;;;;;;;;;;
